,reward,action,dead_apple_ratio,is_frozen,"obs[""DIRT_FRACTION""] > 0.375 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.375 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.375 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.4 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.4 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.4 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.42500000000000004 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.42500000000000004 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.42500000000000004 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.45000000000000007 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.45000000000000007 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.45000000000000007 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.4750000000000001 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.4750000000000001 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.4750000000000001 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.5000000000000001 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.5000000000000001 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.5000000000000001 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 10 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 10 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 10 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 15 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 15 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 15 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 20 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 20 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 20 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 25 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 25 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 25 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 30 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 30 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 30 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","len(obs[""RIOTS""]) >= 1 -> len(obs[""RIOTS""]) == 0","obs[""CUR_CELL_HAS_APPLE""] -> !MOVE_ACTION","obs[""CUR_CELL_IS_FOREIGN_PROPERTY""] -> !MOVE_ACTION","obs[""DIRT_FRACTION""] > 0.375 -> !MOVE_ACTION","obs[""DIRT_FRACTION""] > 0.4 -> !MOVE_ACTION","obs[""DIRT_FRACTION""] > 0.42500000000000004 -> !MOVE_ACTION","obs[""DIRT_FRACTION""] > 0.45000000000000007 -> !MOVE_ACTION","obs[""DIRT_FRACTION""] > 0.4750000000000001 -> !MOVE_ACTION","obs[""DIRT_FRACTION""] > 0.5000000000000001 -> !MOVE_ACTION","obs[""ORIENTATION""] == 0 -> !MOVE_ACTION","obs[""ORIENTATION""] == 1 -> !MOVE_ACTION","obs[""ORIENTATION""] == 2 -> !MOVE_ACTION","obs[""ORIENTATION""] == 3 -> !MOVE_ACTION","obs[""CUR_CELL_HAS_APPLE""] and obs[""CUR_CELL_IS_FOREIGN_PROPERTY""] -> !MOVE_ACTION","obs[""CUR_CELL_HAS_APPLE""] and obs[""NUM_APPLES_AROUND""] < 1 -> !MOVE_ACTION","obs[""CUR_CELL_HAS_APPLE""] and obs[""NUM_APPLES_AROUND""] < 2 -> !MOVE_ACTION","obs[""CUR_CELL_HAS_APPLE""] and obs[""NUM_APPLES_AROUND""] < 3 -> !MOVE_ACTION","obs[""CUR_CELL_HAS_APPLE""] and obs[""NUM_APPLES_AROUND""] < 4 -> !MOVE_ACTION","obs[""CUR_CELL_HAS_APPLE""] and obs[""NUM_APPLES_AROUND""] < 5 -> !MOVE_ACTION","obs[""CUR_CELL_HAS_APPLE""] and obs[""NUM_APPLES_AROUND""] < 6 -> !MOVE_ACTION","obs[""CUR_CELL_HAS_APPLE""] and obs[""NUM_APPLES_AROUND""] < 7 -> !MOVE_ACTION","obs[""CUR_CELL_HAS_APPLE""] and obs[""NUM_APPLES_AROUND""] < 8 -> !MOVE_ACTION"
0,0.0,3,0.0,False,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8,0.01,0.01,0.8,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8,0.01,0.01
1,0.0,3,0.0,False,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.001009081735620585,0.010000000000000005,1.0101009080706177e-07,1.0101009080706177e-07,1.0101009080706177e-07,1.0101009080706177e-07,0.010000000000000005,0.010000000000000005,0.001009081735620585,0.010000000000000005,0.00010099989900010079,0.00010099989900010097,0.8,0.010000000000000005,0.010000000000000005,0.8,0.001009081735620585,0.001009081735620585,0.001009081735620585,0.001009081735620585,0.001009081735620585,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.8,0.010000000000000005,0.010000000000000005
2,0.0,3,0.0,False,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,1.0100908071635618e-05,0.001009081735620583,1.010101010099997e-12,1.010101010099997e-12,1.010101010099997e-12,1.010101010099997e-12,0.010000000000000014,0.010000000000000014,0.00010099989900010097,0.010000000000000014,1.010099989797991e-06,1.0100999897979873e-06,0.8000000000000007,0.010000000000000014,0.010000000000000014,0.8000000000000007,0.00010099989900010097,0.00010099989900010097,1.0100908071635618e-05,1.0100908071635618e-05,1.0100908071635618e-05,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.010000000000000014,0.8000000000000007,0.010000000000000014,0.010000000000000014
3,0.0,3,0.0,False,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,1.0100999897979873e-06,0.00010099989900010079,1.0101010101010117e-16,1.0101010101010117e-16,1.0101010101010117e-16,1.0101010101010117e-16,0.010000000000000031,0.010000000000000031,1.0100908071635637e-05,0.010000000000000031,1.0101009998979643e-08,1.0101009080706104e-07,0.8000000000000007,0.010000000000000031,0.010000000000000031,0.8000000000000007,0.00010099989900010116,0.00010099989900010116,1.0100908071635637e-05,1.0100908071635637e-05,1.0100999897979873e-06,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.8000000000000007,0.010000000000000031,0.010000000000000031
4,0.0,3,0.02564102564102564,False,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,1.010100908070614e-07,1.0100999897979873e-06,1.0101010101010216e-20,1.0101010101010216e-20,1.0101010101010216e-20,1.0101010101010216e-20,0.010000000000000031,0.010000000000000031,1.010099989797991e-06,0.010000000000000031,1.0101010099989766e-10,1.0101009998979643e-08,0.8000000000000007,0.010000000000000031,0.010000000000000031,0.8000000000000007,0.00010099989900010133,0.00010099989900010133,1.0100999897979892e-06,1.0100999897979892e-06,1.010100908070614e-07,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.8000000000000007,0.010000000000000031,0.010000000000000031
5,0.0,3,0.02564102564102564,False,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,1.010100908070614e-07,1.0101009080706104e-07,1.0101010101010265e-22,1.0101010101010265e-22,1.0101010101010265e-22,1.0101010101010265e-22,0.010000000000000031,0.010000000000000031,1.010099989797991e-06,0.010000000000000031,1.0101010100999826e-12,1.0101009998979643e-08,0.8000000000000007,0.010000000000000031,0.010000000000000031,0.8000000000000007,0.00010099989900010133,0.00010099989900010133,1.010099989797991e-06,1.010099989797991e-06,1.010100908070614e-07,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.8000000000000007,0.010000000000000031,0.010000000000000031
6,0.0,3,0.02564102564102564,False,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,1.0101009080706104e-07,1.0101009998979643e-08,1.010101010101029e-23,1.010101010101029e-23,1.010101010101029e-23,1.010101010101029e-23,0.010000000000000031,0.010000000000000031,1.0100999897979928e-06,0.010000000000000031,1.0101010101009038e-13,1.0101009998979643e-08,0.8000000000000007,0.010000000000000031,0.010000000000000031,0.8000000000000007,0.00010099989900010116,0.00010099989900010116,1.0100999897979928e-06,1.0100999897979928e-06,1.0101009080706104e-07,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.010000000000000031,0.8000000000000007,0.010000000000000031,0.010000000000000031
7,0.0,3,0.02564102564102564,False,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,1.0101009998979643e-08,1.010101009080698e-09,1.0101010101010268e-25,1.0101010101010268e-25,1.0101010101010268e-25,1.0101010101010268e-25,0.010000000000000023,0.010000000000000023,1.0101009080706177e-07,0.010000000000000023,1.0101010101009924e-14,1.0101009998979643e-08,0.8000000000000007,0.010000000000000023,0.010000000000000023,0.8000000000000007,1.0100908071635672e-05,1.0100908071635672e-05,1.0101009080706177e-07,1.0101009080706177e-07,1.0101009998979643e-08,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.8000000000000007,0.010000000000000023,0.010000000000000023
8,0.0,5,0.02564102564102564,False,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,1.0101009998979643e-08,1.010101009998973e-10,1.0101010101010292e-26,1.0101010101010292e-26,1.0101010101010292e-26,1.0101010101010292e-26,0.010000000000000023,0.010000000000000023,1.0101009080706177e-07,0.010000000000000023,1.0101010101009924e-14,1.0101010090807017e-09,0.8,0.010000000000000023,0.010000000000000023,0.8,1.0100908071635654e-05,1.0100908071635654e-05,1.0101009080706177e-07,1.0101009080706177e-07,1.0101009998979643e-08,0.03791660831040016,0.010000000000000023,0.010000000000000023,0.03791660831040016,0.010000000000000023,0.010000000000000023,0.03791660831040016,0.010000000000000023,0.010000000000000023,0.03791660831040016,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.8,0.010000000000000023,0.010000000000000023
9,0.0,8,0.02564102564102564,False,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,1.0101009998979643e-08,1.0101010100908004e-11,1.2613718531421753e-28,1.2613718531421753e-28,1.2613718531421753e-28,1.2613718531421753e-28,0.010000000000000023,0.010000000000000023,1.2613718372315784e-08,0.010000000000000023,1.0101010101009924e-14,1.010101009998973e-10,0.8,0.010000000000000023,0.010000000000000023,0.8,1.0100908071635654e-05,1.0100908071635654e-05,1.0101009080706177e-07,1.0101009080706177e-07,1.0101009998979643e-08,0.03791660831040016,0.010000000000000023,0.010000000000000023,0.03791660831040016,0.010000000000000023,0.010000000000000023,0.03791660831040016,0.010000000000000023,0.010000000000000023,0.03791660831040016,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.010000000000000023,0.8,0.010000000000000023,0.010000000000000023
